Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSG00000238009,AL627309.1,0.002236826754198308,-1.3098656312333317,0.36904338130666464,0.005285328374443336,1.3098656312333317,0.36904338130666464
ENSG00000241860,AL627309.5,0.00703002694176611,-1.5936585972339241,0.009038672844987704,0.021141313497773345,1.5936585972339241,0.009038672844987704
ENSG00000229905,AL669831.2,0.0003195466791711868,-0.7249031305121765,1,0,0.7249031305121765,1
ENSG00000237491,LINC01409,0.055601122175786506,-0.2509719421797638,0.698266475486731,0.06553807184309737,0.2509719421797638,0.698266475486731
ENSG00000228794,LINC01128,0.032913307954632244,0.5161049689916188,0.4602079834321556,0.02219837917266201,-0.5161049689916188,0.4602079834321556
ENSG00000225880,LINC00115,0.012781867166847474,0.3107207792185447,0.8143858016891878,0.009513591073998006,-0.3107207792185447,0.8143858016891878
ENSG00000230368,FAM41C,0.01310141384601866,-0.1399406297910195,1,0.013741853773552673,0.1399406297910195,1
ENSG00000230699,AL645608.2,0.0012781867166847473,0.5970249643751853,0.8339754137893525,0,-0.5970249643751853,0.8339754137893525
ENSG00000187634,SAMD11,0.0006390933583423737,-0.1399406297910204,1,0,0.1399406297910204,1
ENSG00000188976,NOC2L,0.19747984772779348,0.08946085006479088,1,0.18498649310551676,-0.08946085006479088,1
ENSG00000187961,KLHL17,0.008627760337622045,-1.3098656312333326,0.028977712169716494,0.021141313497773345,1.3098656312333326,0.028977712169716494
ENSG00000187583,PLEKHN1,0.005112746866738989,-0.22240278998299257,1,0.005285328374443336,0.22240278998299257,1
ENSG00000187642,PERM1,0.0003195466791711868,-0.7249031305121765,1,0,0.7249031305121765,1
ENSG00000272512,AL645608.7,0,-3.3098656312333326,0.14440192589823161,0.0021141313497773343,3.3098656312333326,0.14440192589823161
ENSG00000188290,HES4,0.011184133770991539,-3.336337842594523,0.00000000000000000050124539950096255,0.11522015856286473,3.336337842594523,0.00000000000000000050124539950096255
ENSG00000187608,ISG15,0.3543772672008462,-0.6447327818281928,0.04025394359032409,0.5539024136416616,0.6447327818281928,0.04025394359032409
ENSG00000188157,AGRN,0.002236826754198308,-1.3098656312333317,0.36904338130666464,0.005285328374443336,1.3098656312333317,0.36904338130666464
ENSG00000131591,C1orf159,0.015657787279388154,0.11159813720494505,1,0.013741853773552673,-0.11159813720494505,1
ENSG00000285812,AL390719.3,0.0006390933583423737,-0.1399406297910204,1,0,0.1399406297910204,1
ENSG00000223823,LINC01342,0.0003195466791711868,-0.7249031305121765,1,0,0.7249031305121765,1
ENSG00000162571,TTLL10,0.0009586400375135605,0.2750968694878235,1,0,-0.2750968694878235,1
ENSG00000186891,TNFRSF18,0.06199205575921025,4.882427183237434,0.0000000000070459701264556474,0.0010570656748886671,-4.882427183237434,0.0000000000070459701264556474
ENSG00000186827,TNFRSF4,0.07221754949268823,4.101645356778739,0.0000000000070053906254556645,0.0031711970246660016,-4.101645356778739,0.0000000000070053906254556645
ENSG00000078808,SDF4,0.21984811526977655,-0.41028512385707305,0.259013307463493,0.29175012626927216,0.41028512385707305,0.259013307463493
ENSG00000176022,B3GALT6,0.055920668854957695,-0.5133990253184648,0.23302106534959255,0.07927992561665004,0.5133990253184648,0.23302106534959255
ENSG00000184163,C1QTNF12,0.005432293545910176,-0.1399406297910195,1,0.005285328374443336,0.1399406297910195,1
ENSG00000260179,AL162741.1,0.0025563734333694946,-0.5549781290698634,0.9676272095896191,0.0031711970246660016,0.5549781290698634,0.9676272095896191
ENSG00000160087,UBE2J2,0.14379600562703407,-0.5078323494439232,0.15443911232161528,0.20401367525351277,0.5078323494439232,0.15443911232161528
ENSG00000230415,LINC01786,0.002236826754198308,0.2750968694878235,0.9387503955123445,0.0010570656748886671,-0.2750968694878235,0.9387503955123445
ENSG00000162572,SCNN1D,0.0031954667917118685,-0.5873996067622418,0.8166804237081425,0.0042282626995546685,0.5873996067622418,0.8166804237081425
ENSG00000131584,ACAP3,0.044097441725623784,-1.5128526533971876,0.000003717368131057834,0.1257908153117514,1.5128526533971876,0.000003717368131057834
ENSG00000169972,PUSL1,0.026841921050379695,-0.8390741504314878,0.06283194703481813,0.04756795536999003,0.8390741504314878,0.06283194703481813
ENSG00000127054,INTS11,0.13420960525189848,-0.8274056698609678,0.008727664133769112,0.2378397768499501,0.8274056698609678,0.008727664133777051
ENSG00000224051,CPTP,0.025883281012866133,-0.06779084403518532,1,0.02642664187221668,0.06779084403518532,1
ENSG00000169962,TAS1R3,0.001917280075027121,1.0824517915454273,0.6010644547668874,0,-1.0824517915454273,0.6010644547668874
ENSG00000107404,DVL1,0.022368267541983077,-0.48204660661601295,0.4856184788068303,0.03065490457177135,0.48204660661601295,0.4856184788068303
ENSG00000162576,MXRA8,0.007988666979279671,2.9755365876289153,0.012522978016135937,0,-2.9755365876289153,0.012522978016135937
ENSG00000175756,AURKAIP1,0.47260953849418535,-0.4579642702224662,0.1635739301227287,0.6490383243816417,0.4579642702224662,0.1635739301227287
ENSG00000221978,CCNL2,0.18885208739017142,-0.10790680215130655,0.895884748383429,0.2029566095786241,0.10790680215130655,0.895884748383429
ENSG00000224870,MRPL20-AS1,0.03866514817971361,0.450946704887242,0.4996951747939174,0.027483707547105347,-0.450946704887242,0.4996951747939174
ENSG00000242485,MRPL20,0.3064452653251682,-0.6445610221945728,0.03754271615047226,0.47885075072456623,0.6445610221945728,0.03754271615047226
ENSG00000272455,AL391244.2,0.0025563734333694946,-0.8769062239572261,0.7652513578446255,0.0042282626995546685,0.8769062239572261,0.7652513578446255
ENSG00000235098,ANKRD65,0,-2.7249031305121765,0.4356153565486608,0.0010570656748886671,2.7249031305121765,0.4356153565486608
ENSG00000215915,ATAD3C,0.00607138690425255,2.5970249643751853,0.27489538736135044,0,-2.5970249643751853,0.27489538736135044
ENSG00000160072,ATAD3B,0.025563734333694948,0.3670193589288635,0.6910301218733395,0.01902718214799601,-0.3670193589288635,0.6910301218733395
ENSG00000197785,ATAD3A,0.03802605482137123,-0.2774441535409551,0.711051657628335,0.04545382402021269,0.2774441535409551,0.711051657628335
ENSG00000205090,TMEM240,0.003515013470883055,1.8600593702089796,0.21255617454046433,0,-1.8600593702089796,0.21255617454046433
ENSG00000160075,SSU72,0.6691307461844652,-0.034243269924600805,1,0.6849785573278564,0.034243269924600805,1
ENSG00000215014,AL645728.1,0.06454842919257973,0.4810011680357027,0.42124534118148943,0.04545382402021269,-0.4810011680357027,0.42124534118148943
ENSG00000228594,FNDC10,0.0169359739960729,-1.6138718181234317,0.00012325936795826384,0.051796218069544694,1.6138718181234317,0.00012325936795826384
ENSG00000286989,AL691432.4,0.0028759201125406813,-1.4029750356248138,0.20129513382513847,0.00739945972422067,1.4029750356248138,0.20129513382513847
ENSG00000272106,AL691432.2,0.040262881575569544,0.5633418381188973,0.367535075985154,0.02642664187221668,-0.5633418381188973,0.367535075985154
ENSG00000197530,MIB2,0.17862659365669345,1.0824517915454281,0.004173884061082012,0.08350818831620471,-1.0824517915454281,0.004173884061082012
ENSG00000189409,MMP23B,0.03323285463380343,2.181987465096343,0.0003318189299353835,0.006342394049332003,-2.181987465096343,0.0003318189299353835
ENSG00000248333,CDK11B,0.13452915193106965,0.7673773676991282,0.06312281965009058,0.07822285994176137,-0.7673773676991282,0.06312281965009058
ENSG00000272004,FO704657.1,0.0009586400375135605,-1.7249031305121756,0.3161485204307564,0.0031711970246660016,1.7249031305121756,0.3161485204307564
ENSG00000189339,SLC35E2B,0.07605210964274246,0.29332062810673065,0.6711113622920147,0.0613098091435427,-0.29332062810673065,0.6711113622920147
ENSG00000008128,CDK11A,0.2502050497910393,0.7605236966580657,0.044374782173946664,0.14693212880952475,-0.7605236966580657,0.044374782173946664
ENSG00000215790,SLC35E2A,0.05655976221330007,0.8439397048457034,0.09112022735909395,0.03065490457177135,-0.8439397048457034,0.09112022735909395
ENSG00000008130,NADK,0.05144701534656108,-3.185953027547856,0.00000000000000000000000000000002719109042199896,0.47039422532545694,3.185953027547856,0.00000000000000000000000000000002719109042197423
ENSG00000078369,GNB1,0.3815387349303971,-1.4328455652069514,0.00000008247593007073875,1.0306390330164505,1.4328455652069514,0.00000008247593007074521
ENSG00000231050,AL109917.1,0.0015977333958559342,-1.1399406297910195,0.6520138989567298,0.0031711970246660016,1.1399406297910195,0.6520138989567298
ENSG00000178821,TMEM52,0.0012781867166847473,-0.40297503562481474,1,0.0010570656748886671,0.40297503562481474,1
ENSG00000142609,CFAP74,0.0012781867166847473,0.5970249643751853,1,0,-0.5970249643751853,1
ENSG00000187730,GABRD,0.0028759201125406813,0.012062463654029187,1,0.0021141313497773343,-0.012062463654029187,1
ENSG00000067606,PRKCZ,0.030996027879605124,1.7198817121607197,0.004649620234886698,0.008456525399109337,-1.7198817121607197,0.004649620234886698
ENSG00000271806,AL590822.2,0.007669120300108484,1.3339905585413918,0.20431971753887446,0.0021141313497773343,-1.3339905585413918,0.20431971753887446
ENSG00000182873,PRKCZ-AS1,0.002236826754198308,1.2750968694878235,0.6194981580068084,0,-1.2750968694878235,0.6194981580068084
ENSG00000162585,FAAP20,0.28215971770815795,-0.44082630911649523,0.20429577015714154,0.38265777430969755,0.44082630911649523,0.20429577015714154
ENSG00000234396,AL590822.1,0.0003195466791711868,-0.7249031305121765,1,0,0.7249031305121765,1
ENSG00000157933,SKI,0.1140781644641137,0.1739501460309243,0.8762217029679579,0.10042123911442338,-0.1739501460309243,0.8762217029679579
ENSG00000287356,AL590822.3,0.0006390933583423737,-0.1399406297910204,1,0,0.1399406297910204,1
ENSG00000116151,MORN1,0.008308213658450858,2.0299843716512918,0.055971763091432744,0.0010570656748886671,-2.0299843716512918,0.055971763091432744
ENSG00000272420,AL513477.2,0.0028759201125406813,-0.40297503562481385,0.988177420049287,0.0031711970246660016,0.40297503562481385,0.988177420049287
ENSG00000157916,RER1,0.2422163828117596,-0.6961058662047415,0.023759227936901342,0.3921713653836955,0.6961058662047415,0.023759227936901342
ENSG00000157911,PEX10,0.0242855476170102,0.14956598740396476,1,0.021141313497773345,-0.14956598740396476,1
ENSG00000149527,PLCH2,0.014699147241874594,2.8296857211654602,0.002147289336051133,0.0010570656748886671,-2.8296857211654602,0.002147289336051133
ENSG00000224387,AL139246.1,0.0003195466791711868,-0.7249031305121765,1,0,0.7249031305121765,1
ENSG00000157881,PANK4,0.016616427316901716,-0.5205446320059899,0.45428506188760487,0.02325544484755068,0.5205446320059899,0.45428506188760487
ENSG00000272449,AL139246.5,0.11983000468919507,0.022330799107856958,1,0.11733428991264207,-0.022330799107856958,1
