Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
ENSG00000238009,AL627309.1,0.0023624558456710617,-0.9975061246196031,0.5514989993422288,0.005285328374443336,1.3098656312333317,0.36904338130666464,0,0.8452413515223745,1
ENSG00000241860,AL627309.5,0.007424861229251908,-1.2812990906201946,0.03642085657793096,0.021141313497773345,1.5936585972339241,0.009038672844987704,0,-0.8805836850386308,0.9027314941371839
ENSG00000229905,AL669831.2,0.00033749369223872307,-0.412543623898447,1,0,0.7249031305121765,1,0,3.545681069663467,1
ENSG00000237491,LINC01409,0.05838640875729909,0.03039987195028182,1,0.06553807184309737,0.2509719421797638,0.698266475486731,0.006009077287138304,-2.3369619796983745,0.11838429417740562
ENSG00000228794,LINC01128,0.034424356608349756,0.7503949472277585,0.17687820502907695,0.02219837917266201,-0.5161049689916188,0.4602079834321556,0.006009077287138304,-1.4085152407234078,0.47210440624348843
ENSG00000225880,LINC00115,0.013499747689548923,0.6230802858322741,0.4642091063985811,0.009513591073998006,-0.3107207792185447,0.8143858016891878,0,-1.0981751201112582,0.9255721677257643
ENSG00000230368,FAM41C,0.013499747689548923,0.038117785111118074,1,0.013741853773552673,0.1399406297910195,1,0.006009077287138304,-0.20920643250000204,1
ENSG00000230699,AL645608.2,0.0013499747689548923,0.9093844709889147,0.7917208153972612,0,-0.5970249643751853,0.8339754137893525,0,2.2237529747761053,1
ENSG00000187634,SAMD11,0.0006749873844774461,0.17241887682270907,1,0,0.1399406297910204,1,0,2.960718568942311,1
ENSG00000188976,NOC2L,0.20722112703457596,0.3600458799984807,0.4074250434257835,0.18498649310551676,-0.08946085006479088,1,0.024036309148553217,-2.7580996785136356,0.02476058235728962
ENSG00000187961,KLHL17,0.009112329690445523,-0.9975061246196031,0.10905925563724904,0.021141313497773345,1.3098656312333326,0.028977712169716494,0,-1.039281431057689,0.9176315496014071
