Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSG00000238009,AL627309.1,0.0007718199755057924,-1.9681292605243126,0.11890918333767758,0.003356751530380865,1.9681292605243126,0.11890918333767758
ENSG00000241860,AL627309.5,0.00411637320269756,-2.1536849136803893,0.00009106126783758217,0.018797808570132843,2.1536849136803893,0.00009106126783758217
ENSG00000241599,AL627309.4,0.000514546650337195,0.20179574091799957,1,0,-0.20179574091799957,1
ENSG00000286448,AP006222.2,0.0002572733251685975,-0.3831667598031565,1,0,0.3831667598031565,1
ENSG00000229905,AL669831.2,0.0002572733251685975,-0.3831667598031565,1,0,0.3831667598031565,1
ENSG00000237491,LINC01409,0.033445532271917676,-1.1699227206808938,0.0005948464172977998,0.07519123428053137,1.1699227206808938,0.0005948464172977998
ENSG00000177757,FAM87B,0,-3.3831667598031565,0.179622286252939,0.0020140509182285187,3.3831667598031565,0.179622286252939
ENSG00000228794,LINC01128,0.027013699142702737,0.43786309915152444,0.47915919872088714,0.019469158876209015,-0.43786309915152444,0.47915919872088714
ENSG00000225880,LINC00115,0.008747293055732314,-0.06123866491579388,1,0.008727553978990249,0.06123866491579388,1
ENSG00000230368,FAM41C,0.00823274640539512,0.4913023581129847,0.7015136747293933,0.005370802448609383,-0.4913023581129847,0.7015136747293933
ENSG00000230699,AL645608.2,0,-2.3831667598031565,0.4755285395162029,0.0006713503060761729,2.3831667598031565,0.4755285395162029
ENSG00000241180,AL645608.4,0,-2.3831667598031565,0.4755285395162029,0.0006713503060761729,2.3831667598031565,0.4755285395162029
ENSG00000187634,SAMD11,0,-2.3831667598031565,0.4755285395162029,0.0006713503060761729,2.3831667598031565,0.4755285395162029
ENSG00000188976,NOC2L,0.14690306867126918,-0.4712229364683522,0.16028763573246838,0.2034191427410804,0.4712229364683522,0.16028763573246838
ENSG00000187961,KLHL17,0.006946379779552133,-1.099373793802565,0.06572473791630035,0.014769706733675805,1.099373793802565,0.06572473791630035
ENSG00000187583,PLEKHN1,0.002572733251685975,-2.31605256394462,0.00027286478064499667,0.01342700612152346,2.31605256394462,0.00027286478064499667
ENSG00000188290,HES4,0.006946379779552133,-4.0104400653822765,0.000000000000000000000000272479804119403,0.11547225264510175,4.0104400653822765,0.000000000000000000000000272479804119403
ENSG00000187608,ISG15,0.30409707034928224,-0.9677226957644316,0.0007830518692207369,0.5948163711834892,0.9677226957644316,0.0007830518692207369
ENSG00000188157,AGRN,0.0012863666258429874,-0.7982042590820004,0.725856890176278,0.0020140509182285187,0.7982042590820004,0.725856890176278
ENSG00000131591,C1orf159,0.009519113031238107,-0.942594168417175,0.0857098710026909,0.01812645826405667,0.942594168417175,0.0857098710026909
ENSG00000285812,AL390719.3,0.000514546650337195,0.20179574091799957,1,0,-0.20179574091799957,1
ENSG00000223823,LINC01342,0.000514546650337195,0.20179574091799957,1,0,-0.20179574091799957,1
ENSG00000162571,TTLL10,0.00102909330067439,0.9387613350842052,0.7999799909678688,0,-0.9387613350842052,0.7999799909678688
ENSG00000186891,TNFRSF18,0.03576099219843505,4.161153756420654,0.00000000032984348677019167,0.0013427006121523458,-4.161153756420654,0.00000000032984348677019167
ENSG00000186827,TNFRSF4,0.04913920510720212,3.6168332401968435,0.000000000028900825990664844,0.003356751530380865,-3.6168332401968435,0.000000000028900825990664844
ENSG00000078808,SDF4,0.19321226720161672,-0.43220425311171073,0.1968701215843357,0.2604839187575551,0.43220425311171073,0.1968701215843357
ENSG00000176022,B3GALT6,0.041678278677312795,-0.49387022420937576,0.23011443053578606,0.058407476628627046,0.49387022420937576,0.23011443053578606
ENSG00000184163,C1QTNF12,0.0018009132761801826,-1.3831667598031556,0.19329700405204525,0.004699452142533211,1.3831667598031556,0.19329700405204525
ENSG00000260179,AL162741.1,0.00102909330067439,-0.6462011656369508,0.8855057125045138,0.0013427006121523458,0.6462011656369508,0.8855057125045138
ENSG00000160087,UBE2J2,0.11603026965103747,-0.45173104628622784,0.19310748919429035,0.1584386722339768,0.45173104628622784,0.19310748919429035
ENSG00000230415,LINC01786,0.0012863666258429874,-0.3831667598031565,1,0.0013427006121523458,0.3831667598031565,1
ENSG00000162572,SCNN1D,0.00205818660134878,-0.7982042590820004,0.614107602301278,0.003356751530380865,0.7982042590820004,0.614107602301278
ENSG00000131584,ACAP3,0.03576099219843505,-1.3934350952569834,0.000014588021020960148,0.09398904285066421,1.3934350952569834,0.000014588021020960148
ENSG00000169972,PUSL1,0.026241879167196946,-0.6508625430068129,0.17708855733086096,0.04095236867064655,0.6508625430068129,0.17708855733086096
ENSG00000127054,INTS11,0.10085114346609021,-0.8091753769030032,0.008225618693707951,0.1765651304980335,0.8091753769030032,0.008225618693707951
ENSG00000240731,AL139287.1,0.000514546650337195,-0.7982042590820004,1,0.0006713503060761729,0.7982042590820004,1
ENSG00000224051,CPTP,0.027270972467871336,0.4514096309894722,0.468330500699216,0.019469158876209015,-0.4514096309894722,0.468330500699216
ENSG00000169962,TAS1R3,0.0002572733251685975,-0.3831667598031565,1,0,0.3831667598031565,1
ENSG00000107404,DVL1,0.012606392933261277,-0.6935068804153071,0.21493360148628093,0.020140509182285188,0.6935068804153071,0.21493360148628093
ENSG00000162576,MXRA8,0.0061745598040463395,3.260689429971568,0.021896708114847823,0,-3.260689429971568,0.021896708114847823
ENSG00000175756,AURKAIP1,0.3596681085856993,-0.6845305717275011,0.017461896466492214,0.5780326135315849,0.6845305717275011,0.017461896466492214
ENSG00000221978,CCNL2,0.16079582823037344,-0.22243092981550427,0.597780574063616,0.18730673539525225,0.22243092981550427,0.597780574063616
ENSG00000224870,MRPL20-AS1,0.03293098562158048,0.2705084910020137,0.7342309982334088,0.02685401224304692,-0.2705084910020137,0.7342309982334088
ENSG00000242485,MRPL20,0.2660206182243298,-0.6896798023038309,0.01842914161250945,0.42899284558267453,0.6896798023038309,0.01842914161250945
ENSG00000272455,AL391244.2,0.0030872799020231698,-0.00465513654942562,1,0.0026854012243046916,0.00465513654942562,1
ENSG00000235098,ANKRD65,0.0002572733251685975,-2.3831667598031565,0.1678857947552639,0.0020140509182285187,2.3831667598031565,0.1678857947552639
ENSG00000179403,VWA1,0,-2.3831667598031565,0.4755285395162029,0.0006713503060761729,2.3831667598031565,0.4755285395162029
ENSG00000215915,ATAD3C,0.004373646527866157,1.2017957409179996,0.29948656775853405,0.0013427006121523458,-1.2017957409179996,0.29948656775853405
ENSG00000160072,ATAD3B,0.014664579534610058,-0.28007326683905287,0.7849860368314031,0.017455107957980498,0.28007326683905287,0.7849860368314031
ENSG00000197785,ATAD3A,0.024698239216185358,-0.6412349127436006,0.16119780737823927,0.03826696744634186,0.6412349127436006,0.16119780737823927
ENSG00000205090,TMEM240,0.002572733251685975,1.07626485883414,0.5956307846684442,0.0006713503060761729,-1.07626485883414,0.5956307846684442
