Feature,Normalized.Dispersion
ENSG00000238009,0.5122514590896129
ENSG00000241860,0.9095305135400261
ENSG00000241599,NaN
ENSG00000286448,NaN
ENSG00000229905,NaN
ENSG00000237491,-0.18572488842944915
ENSG00000177757,20.677678835118463
ENSG00000228794,-0.860228464438029
ENSG00000225880,1.489120073667523
ENSG00000230368,2.846528134481806
ENSG00000230699,NaN
ENSG00000241180,NaN
ENSG00000187634,NaN
ENSG00000188976,-1.329601611258236
ENSG00000187961,-0.7997165324152579
ENSG00000187583,-1.7514642657297745
ENSG00000188290,4.003064425511702
ENSG00000187608,8.759741680983941
ENSG00000188157,4.708596960626082
ENSG00000131591,-0.009979352666148444
ENSG00000285812,NaN
ENSG00000223823,NaN
ENSG00000162571,0.6982858216316523
ENSG00000186891,1.7796896159875428
ENSG00000186827,0.013074954632342548
ENSG00000078808,-0.6134937918646582
ENSG00000176022,-1.3130237810282472
ENSG00000184163,0.25182285627176026
ENSG00000260179,0.19454648474912029
ENSG00000160087,-1.2666116053715302
ENSG00000230415,-0.7249615360453291
ENSG00000162572,1.9417882390154628
ENSG00000131584,-0.28811187676908523
ENSG00000169972,3.2501388562795315
ENSG00000127054,-0.7249563716267083
ENSG00000240731,-1.1272892521337048
ENSG00000224051,1.0792523607436966
ENSG00000169962,NaN
ENSG00000107404,-1.5337396870966222
ENSG00000162576,6.174882354346738
ENSG00000175756,-0.9787864656920056
ENSG00000221978,1.4226687700904195
ENSG00000224870,-1.1563798071573663
ENSG00000242485,-1.3696971268715836
ENSG00000272455,-1.0988612826097264
ENSG00000235098,-1.2846658296970115
ENSG00000179403,NaN
ENSG00000215915,0.1795313768411647
ENSG00000160072,-0.35511028256712523
ENSG00000197785,-1.4391782088463612
ENSG00000205090,4.393416671224458
ENSG00000160075,-0.25000899032264845
ENSG00000215014,-0.6506116440574953
ENSG00000228594,-1.1458958293279462
ENSG00000286989,1.7307310510659901
ENSG00000272106,-0.7000907590469172
ENSG00000197530,-0.5066736857070583
ENSG00000189409,3.147463721506464
ENSG00000248333,-0.31269107530964446
ENSG00000272004,-1.0456492803080015
ENSG00000189339,-1.1053817563956445
ENSG00000008128,-1.2698884641522687
ENSG00000215790,-1.38058687734791
ENSG00000008130,3.5310654645791604
ENSG00000078369,-0.6315391630840672
ENSG00000231050,0.8803625745750389
ENSG00000169885,NaN
ENSG00000178821,-1.346580482605851
ENSG00000142609,-1.0430049001999107
ENSG00000233542,NaN
ENSG00000187730,NaN
ENSG00000067606,3.8461014846077552
ENSG00000271806,-0.6675119646837875
ENSG00000182873,-1.0101163907538728
ENSG00000162585,-1.0840101396655937
ENSG00000157933,3.8356592537849834
ENSG00000287356,0.4829641662776316
ENSG00000116151,-0.9434284185071009
ENSG00000272420,2.301524865804636
ENSG00000157916,-1.010642492613206
ENSG00000157911,-1.7259414032463938
ENSG00000149527,0.1680742685399571
ENSG00000224387,NaN
ENSG00000157881,-1.3392091778869077
ENSG00000197921,NaN
ENSG00000272449,-0.8416180814069768
ENSG00000238164,2.8217099340833984
ENSG00000157873,-1.0757395189183687
ENSG00000228037,6.227478136700499
ENSG00000157870,-0.772509083252779
ENSG00000142606,-0.9110592866115068
ENSG00000215912,0.853947533707075
ENSG00000130762,NaN
ENSG00000162591,1.8618314374893563
ENSG00000238260,-0.19080136511586362
ENSG00000158109,0.6615569503580384
ENSG00000116213,0.8313248602701604
ENSG00000078900,NaN
ENSG00000162592,NaN
ENSG00000235169,10.158767083733416
ENSG00000130764,-0.06006269335560824
ENSG00000272153,NaN
ENSG00000116198,0.5243565880460164
ENSG00000169598,0.28092697251221915
ENSG00000198912,1.8019533748338756
ENSG00000236423,1.0032298495037337
ENSG00000284703,NaN
ENSG00000196581,1.0240606874520544
ENSG00000287586,NaN
ENSG00000236948,0.660343804699316
ENSG00000131697,-0.3217572650343479
ENSG00000069424,-0.6489772999646625
ENSG00000116254,0.5531835051109082
ENSG00000116251,-1.1126118967750895
ENSG00000226944,NaN
ENSG00000158286,-0.6061322263485357
ENSG00000116237,-1.4908307763983055
ENSG00000173673,NaN
ENSG00000158292,0.03292659993835982
ENSG00000097021,10.413991655290534
ENSG00000271746,-1.4188884504727348
ENSG00000069812,15.131954863769842
ENSG00000187017,-0.6641195368404113
ENSG00000215788,-0.47246132121916173
ENSG00000171680,-0.640686315137475
ENSG00000162408,-0.3315159264592483
ENSG00000204859,-0.8605328396880932
ENSG00000162413,-0.35570623126016554
ENSG00000116273,2.067087822294506
ENSG00000041988,-1.1465462519645246
ENSG00000007923,-0.8063411029850382
ENSG00000228750,NaN
ENSG00000284744,-0.24016495603819385
ENSG00000237436,-0.7048754373276414
ENSG00000171735,8.997073099785549
ENSG00000270035,NaN
ENSG00000049245,-0.3156866689990002
ENSG00000269925,NaN
ENSG00000049246,0.4601847453922794
ENSG00000236266,NaN
ENSG00000049247,0.24780819886167058
ENSG00000049249,0.9414728033616269
ENSG00000116288,2.070149796295398
ENSG00000284747,-0.5742657778891873
ENSG00000284716,NaN
ENSG00000116285,-0.5618002498107385
ENSG00000238290,-1.1567099370945095
ENSG00000162426,-1.2904890637039201
ENSG00000142599,-0.5451489184040498
ENSG00000232912,-1.4246920528742006
ENSG00000228423,NaN
ENSG00000074800,0.20848859132979414
ENSG00000230679,-1.0280584717824184
ENSG00000131686,-0.7120997684914332
ENSG00000142583,1.9848975883435642
ENSG00000180758,-1.58239348770484
ENSG00000228526,-0.047096690769772104
ENSG00000234546,NaN
ENSG00000049239,-0.21290668576992175
ENSG00000171621,17.537108616736077
ENSG00000171612,-1.1319839807487755
ENSG00000188807,-1.391113006417376
ENSG00000171608,-1.0237725050379207
ENSG00000179840,-2.5104161386981194
ENSG00000231789,2.527374318154281
ENSG00000171603,-1.2488223884126706
ENSG00000178585,7.596585517374983
ENSG00000223989,NaN
ENSG00000162441,0.47484747203748945
ENSG00000228150,10.606172038330085
ENSG00000173614,-0.29364399216421644
