Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
ENSG00000238009,AL627309.1,0.002629818348401567,0.9283473271101137,0.5176302002539461,0.0009398194261478648,-0.5537723250845925,0.9309412049765958,0,0.8817411572178822,1
ENSG00000241860,AL627309.5,0.007889455045204701,-1.1212834406144871,0.06183704067918258,0.020676027375253026,1.4958584426400083,0.011778153808620424,0,-1.3509195995723928,0.6486937475321203
ENSG00000241599,AL627309.4,0.0003287272935501959,-0.24157767433219846,1,0,0.6161526763577196,1,0,3.203669252105244,1
ENSG00000237491,LINC01409,0.04700800297767801,-0.8398369976668132,0.016862465491595615,0.10150049802396939,1.214411999692334,0.00045076260223624894,0,-3.773610671394672,0.005372165425035382
ENSG00000177757,FAM87B,0,-2.8265401750533545,0.20363067575944818,0.0018796388522957295,3.2011151770788757,0.1561828865687954,0,2.618706751384088,1
ENSG00000228794,LINC01128,0.030900365593718414,0.8688463153614521,0.1049742214809524,0.018796388522957296,-0.5764924015846757,0.3721639034701293,0.004506623746440509,-1.641820798839131,0.2819142769301915
ENSG00000225880,LINC00115,0.005917091283903526,0.006349839111386757,1,0.006578735983035053,0.36822516291413443,0.8984363907452125,0,-0.49677046603584785,1
ENSG00000230368,FAM41C,0.013149091742007835,0.7940462353985227,0.3339268481719869,0.007518555409182918,-0.6062397449787271,0.5304208929218464,0.004506623746440509,-0.41104059200996357,1
ENSG00000230699,AL645608.2,0.0006574545871003918,0.3433848263889576,1,0,0.031190175636563566,1,0,2.618706751384088,1
ENSG00000187634,SAMD11,0,-2.2415776743321985,0.5014878008975067,0.0009398194261478648,2.6161526763577196,0.44693679742587256,0,3.203669252105244,1
ENSG00000188976,NOC2L,0.18605964814941087,-0.03688725472920984,1,0.22649648170163542,0.377668978269472,0.32766660226620536,0.018026494985762035,-3.1326141357591877,0.002213904383497637
ENSG00000187961,KLHL17,0.005259636696803134,-0.961469755139464,0.3886517314899542,0.011277833113774376,1.1466673930565001,0.2859164376936983,0.004506623746440509,0.345688256977672,1
ENSG00000187583,PLEKHN1,0.005259636696803134,0.2609226661969837,1,0.004699097130739324,0.11365233582853751,1,0,-0.25576236653205253,1
ENSG00000187642,PERM1,0.0003287272935501959,-0.24157767433219846,1,0,0.6161526763577196,1,0,3.203669252105244,1
ENSG00000272512,AL645608.7,0,-2.8265401750533545,0.20363067575944818,0.0018796388522957295,3.2011151770788757,0.1561828865687954,0,2.618706751384088,1
ENSG00000188290,HES4,0.011834182567807052,-4.2415776743321985,0.000000000000000000000000000013979454932343924,0.2772467307136201,4.6161526763577205,0.0000000000000000000000000000000002816252814681567,0,-4.171370179241681,0.009910391034984608
ENSG00000187608,ISG15,0.3579840226761633,-0.5134090284031517,0.10250703366783841,0.6146419047007036,0.8774260871106281,0.003178509901631684,0.013519871239321525,-4.564515072671682,0.000042001349236802556
ENSG00000188157,AGRN,0.0006574545871003918,-2.6566151736110424,0.018012544286199493,0.006578735983035053,3.0311901756365636,0.006886558248187512,0,0.8817411572178822,1
ENSG00000237330,RNF223,0.0003287272935501959,-0.24157767433219846,1,0,0.6161526763577196,1,0,3.203669252105244,1
ENSG00000131591,C1orf159,0.013149091742007835,0.028511489035545345,1,0.015037110818365836,0.34606351298997584,0.7504631565964781,0,-1.6292207620594974,0.3683360399280476
ENSG00000285812,AL390719.3,0,-2.8265401750533545,0.20728062294474106,0.0018796388522957295,3.2011151770788757,0.1599941145128752,0,2.618706751384088,1
ENSG00000223823,LINC01342,0.0009861818806505876,0.7584223256678015,0.7672047109436537,0,-0.38384732364228036,1,0,2.203669252105244,1
ENSG00000162571,TTLL10,0.0016436364677509794,1.3433848263889576,0.5385830423084585,0,-0.9688098243634364,0.5854029097516947,0,1.6187067513840878,1
ENSG00000186891,TNFRSF18,0.06969018623264153,4.908169445172484,0.0000000000000026293817068692373,0.0018796388522957295,-4.533594443146962,0.000000000004529655140692923,0,-3.5445235974842157,0.015555422382879852
ENSG00000186827,TNFRSF4,0.06278691306808741,4.7584223256678015,0.000000000000005314159685932864,0.0018796388522957295,-4.38384732364228,0.000000000012146081356439765,0,-3.396243590081883,0.01548559620460835
ENSG00000078808,SDF4,0.24424437910779553,0.10282428235358454,0.9451321164898945,0.27254763358288076,0.2579961990107664,0.5372845123009983,0.009013247492881018,-4.225388717488533,0.0001492620720464756
ENSG00000176022,B3GALT6,0.05391127614223212,-0.04518046152869548,1,0.0667271792564984,0.4197554635542171,0.3790623668995396,0,-3.678973797256597,0.007288250181844057
ENSG00000184163,C1QTNF12,0.002958545641951763,-1.2415776743321993,0.39684116425598687,0.007518555409182918,1.3266460591627363,0.34126719543190087,0.004506623746440509,1.0337442506629317,0.7617011583191088
ENSG00000260179,AL162741.1,0.0013149091742007835,-2.0895745808871498,0.054654716262011516,0.007518555409182918,2.464149582912671,0.024413529038194763,0,0.503229533964153,1
ENSG00000160087,UBE2J2,0.1423389181072348,0.044240127145882546,1,0.159769302445137,0.24937034568609784,0.5854029097516947,0.03154636622508356,-2.0347354872198347,0.04271510170620119
